Title,Type,Current Answer
"Vereinigte Arabische Emirate",Flaggen,"Vereinigte Arabische Emirate – Staatsflagge (Jahr variabel)."
"Afghanistan",Flaggen,"Äfghanistan – Staatsflagge (Jahr variabel)."
"Antigua und Barbuda",Flaggen,"Äntigua und Barbuda – Staatsflagge (Jahr variabel)."
"Anguilla",Flaggen,"Änguilla – Staatsflagge (Jahr variabel)."
"Albanien",Flaggen,"Älbanien – Staatsflagge (Jahr variabel)."
"Armenien",Flaggen,"Ärmenien – Staatsflagge (Jahr variabel)."
"Angola",Flaggen,"Ängola – Staatsflagge (Jahr variabel)."
"Antarktis",Flaggen,"Äntarktis – Staatsflagge (Jahr variabel)."
"Argentinien",Flaggen,"Ärgentinien – Staatsflagge (Jahr variabel)."
"Amerikanisch-Samoa",Flaggen,"Ämerikanisch-Samoa – Staatsflagge (Jahr variabel)."
"Australien",Flaggen,"Äustralien – Staatsflagge (Jahr variabel)."
"Aruba",Flaggen,"Äruba – Staatsflagge (Jahr variabel)."
"Ålandinseln",Flaggen,"Ålandinseln – Staatsflagge (Jahr variabel)."
"Aserbaidschan",Flaggen,"Äserbaidschan – Staatsflagge (Jahr variabel)."
"Bosnien und Herzegowina",Flaggen,"Bosnien und Herzegowina – Staatsflagge (Jahr variabel)."
"Bulgarien",Flaggen,"Bulgarien – Staatsflagge (Jahr variabel)."
"St. Barthélemy",Flaggen,"St. Barthélemy – Staatsflagge (Jahr variabel)."
"Bermuda",Flaggen,"Bermuda – Staatsflagge (Jahr variabel)."
"Brunei Darussalam",Flaggen,"Brunei Darussalam – Staatsflagge (Jahr variabel)."
"Bolivien",Flaggen,"Bolivien – Staatsflagge (Jahr variabel)."
"Karibische Niederlande",Flaggen,"Karibische Niederlande – Staatsflagge (Jahr variabel)."
"Bhutan",Flaggen,"Bhutan – Staatsflagge (Jahr variabel)."
"Bouvetinsel",Flaggen,"Bouvetinsel – Staatsflagge (Jahr variabel)."
"Botsuana",Flaggen,"Botsuana – Staatsflagge (Jahr variabel)."
"Kokosinseln",Flaggen,"Kokosinseln – Staatsflagge (Jahr variabel)."
"Kongo-Kinshasa",Flaggen,"Kongo-Kinshasa – Staatsflagge (Jahr variabel)."
"Zentralafrikanische Republik",Flaggen,"Zentralafrikanische Republik – Staatsflagge (Jahr variabel)."
"Kongo-Brazzaville",Flaggen,"Kongo-Brazzaville – Staatsflagge (Jahr variabel)."
"Côte d’Ivoire",Flaggen,"Côte d’Ivoire – Staatsflagge (Jahr variabel)."
"Cookinseln",Flaggen,"Cookinseln – Staatsflagge (Jahr variabel)."
"Chile",Flaggen,"Chile – Staatsflagge (Jahr variabel)."
"China",Flaggen,"China – Staatsflagge (Jahr variabel)."
"Kolumbien",Flaggen,"Kolumbien – Staatsflagge (Jahr variabel)."
"Costa Rica",Flaggen,"Costa Rica – Staatsflagge (Jahr variabel)."
"Cabo Verde",Flaggen,"Cabo Verde – Staatsflagge (Jahr variabel)."
"Curaçao",Flaggen,"Curaçao – Staatsflagge (Jahr variabel)."
"Weihnachtsinsel",Flaggen,"Weihnachtsinsel – Staatsflagge (Jahr variabel)."
"Dänemark",Flaggen,"Dänemark – Staatsflagge (Jahr variabel)."
"Dominikanische Republik",Flaggen,"Dominikanische Republik – Staatsflagge (Jahr variabel)."
"Algerien",Flaggen,"Älgerien – Staatsflagge (Jahr variabel)."
"Ecuador",Flaggen,"Ecuador – Staatsflagge (Jahr variabel)."
"Westsahara",Flaggen,"Westsahara – Staatsflagge (Jahr variabel)."
"Äthiopien",Flaggen,"Äthiopien – Staatsflagge (Jahr variabel)."
"Finnland",Flaggen,"Finnland – Staatsflagge (Jahr variabel)."
"Falklandinseln",Flaggen,"Falklandinseln – Staatsflagge (Jahr variabel)."
"Färöer",Flaggen,"Färöer – Staatsflagge (Jahr variabel)."
"GB-ENG",Flaggen,"GB-ENG – Staatsflagge (Jahr variabel)."
"GB-NIR",Flaggen,"GB-NIR – Staatsflagge (Jahr variabel)."
"GB-SCT",Flaggen,"GB-SCT – Staatsflagge (Jahr variabel)."
"Vereinigtes Königreich",Flaggen,"Vereinigtes Königreich – Staatsflagge (Jahr variabel)."
"Französisch-Guayana",Flaggen,"Französisch-Guayana – Staatsflagge (Jahr variabel)."
"Guernsey",Flaggen,"Guernsey – Staatsflagge (Jahr variabel)."
"Gibraltar",Flaggen,"Gibraltar – Staatsflagge (Jahr variabel)."
"Grönland",Flaggen,"Grönland – Staatsflagge (Jahr variabel)."
"Guadeloupe",Flaggen,"Guadeloupe – Staatsflagge (Jahr variabel)."
"Griechenland",Flaggen,"Griechenland – Staatsflagge (Jahr variabel)."
"Südgeorgien und die Südlichen Sandwichinseln",Flaggen,"Südgeorgien und die Südlichen Sandwichinseln – Staatsflagge (Jahr variabel)."
"Guatemala",Flaggen,"Guatemala – Staatsflagge (Jahr variabel)."
"Guam",Flaggen,"Guam – Staatsflagge (Jahr variabel)."
"Sonderverwaltungsregion Hongkong",Flaggen,"Sonderverwaltungsregion Hongkong – Staatsflagge (Jahr variabel)."
"Heard und McDonaldinseln",Flaggen,"Heard und McDonaldinseln – Staatsflagge (Jahr variabel)."
"Honduras",Flaggen,"Honduras – Staatsflagge (Jahr variabel)."
"Haiti",Flaggen,"Haiti – Staatsflagge (Jahr variabel)."
"Ungarn",Flaggen,"Üngarn – Staatsflagge (Jahr variabel)."
"Isle of Man",Flaggen,"Isle of Man – Staatsflagge (Jahr variabel)."
"Britisches Territorium im Indischen Ozean",Flaggen,"Britisches Territorium im Indischen Ozean – Staatsflagge (Jahr variabel)."
"Jersey",Flaggen,"Jersey – Staatsflagge (Jahr variabel)."
"St. Kitts und Nevis",Flaggen,"St. Kitts und Nevis – Staatsflagge (Jahr variabel)."
"Kaimaninseln",Flaggen,"Kaimaninseln – Staatsflagge (Jahr variabel)."
"Liechtenstein",Flaggen,"Liechtenstein – Staatsflagge (Jahr variabel)."
"Liberia",Flaggen,"Liberia – Staatsflagge (Jahr variabel)."
"Monaco",Flaggen,"Monaco – Staatsflagge (Jahr variabel)."
"Republik Moldau",Flaggen,"Republik Moldau – Staatsflagge (Jahr variabel)."
"St. Martin",Flaggen,"St. Martin – Staatsflagge (Jahr variabel)."
"Mongolei",Flaggen,"Mongolei – Staatsflagge (Jahr variabel)."
"Sonderverwaltungsregion Macau",Flaggen,"Sonderverwaltungsregion Macau – Staatsflagge (Jahr variabel)."
"Nördliche Marianen",Flaggen,"Nördliche Marianen – Staatsflagge (Jahr variabel)."
"Martinique",Flaggen,"Martinique – Staatsflagge (Jahr variabel)."
"Montserrat",Flaggen,"Montserrat – Staatsflagge (Jahr variabel)."
"Mexiko",Flaggen,"Mexiko – Staatsflagge (Jahr variabel)."
"Neukaledonien",Flaggen,"Neukaledonien – Staatsflagge (Jahr variabel)."
"Norfolkinsel",Flaggen,"Norfolkinsel – Staatsflagge (Jahr variabel)."
"Nicaragua",Flaggen,"Nicaragua – Staatsflagge (Jahr variabel)."
"Niederlande",Flaggen,"Niederlande – Staatsflagge (Jahr variabel)."
"Nauru",Flaggen,"Nauru – Staatsflagge (Jahr variabel)."
"Niue",Flaggen,"Niue – Staatsflagge (Jahr variabel)."
"Oman",Flaggen,"Öman – Staatsflagge (Jahr variabel)."
"Panama",Flaggen,"Panama – Staatsflagge (Jahr variabel)."
"Peru",Flaggen,"Peru – Staatsflagge (Jahr variabel)."
"Französisch-Polynesien",Flaggen,"Französisch-Polynesien – Staatsflagge (Jahr variabel)."
"St. Pierre und Miquelon",Flaggen,"St. Pierre und Miquelon – Staatsflagge (Jahr variabel)."
"Pitcairninseln",Flaggen,"Pitcairninseln – Staatsflagge (Jahr variabel)."
"Puerto Rico",Flaggen,"Puerto Rico – Staatsflagge (Jahr variabel)."
"Palästinensische Autonomiegebiete",Flaggen,"Palästinensische Autonomiegebiete – Staatsflagge (Jahr variabel)."
"Portugal",Flaggen,"Portugal – Staatsflagge (Jahr variabel)."
"Paraguay",Flaggen,"Paraguay – Staatsflagge (Jahr variabel)."
"Réunion",Flaggen,"Réunion – Staatsflagge (Jahr variabel)."
"Rumänien",Flaggen,"Rumänien – Staatsflagge (Jahr variabel)."
"Seychellen",Flaggen,"Seychellen – Staatsflagge (Jahr variabel)."
"Schweden",Flaggen,"Schweden – Staatsflagge (Jahr variabel)."
"St. Helena",Flaggen,"St. Helena – Staatsflagge (Jahr variabel)."
"Spitzbergen und Jan Mayen",Flaggen,"Spitzbergen und Jan Mayen – Staatsflagge (Jahr variabel)."
"São Tomé und Príncipe",Flaggen,"São Tomé und Príncipe – Staatsflagge (Jahr variabel)."
"El Salvador",Flaggen,"El Salvador – Staatsflagge (Jahr variabel)."
"Sint Maarten",Flaggen,"Sint Maarten – Staatsflagge (Jahr variabel)."
"Turks- und Caicosinseln",Flaggen,"Turks- und Caicosinseln – Staatsflagge (Jahr variabel)."
"Französische Süd- und Antarktisgebiete",Flaggen,"Französische Süd- und Antarktisgebiete – Staatsflagge (Jahr variabel)."
"Tokelau",Flaggen,"Tokelau – Staatsflagge (Jahr variabel)."
"Timor-Leste",Flaggen,"Timor-Leste – Staatsflagge (Jahr variabel)."
"Tonga",Flaggen,"Tonga – Staatsflagge (Jahr variabel)."
"Trinidad und Tobago",Flaggen,"Trinidad und Tobago – Staatsflagge (Jahr variabel)."
"Taiwan",Flaggen,"Taiwan – Staatsflagge (Jahr variabel)."
"Ukraine",Flaggen,"Ükraine – Staatsflagge (Jahr variabel)."
"Uganda",Flaggen,"Üganda – Staatsflagge (Jahr variabel)."
"Amerikanische Überseeinseln",Flaggen,"Ämerikanische Überseeinseln – Staatsflagge (Jahr variabel)."
"Vereinigte Staaten",Flaggen,"Vereinigte Staaten – Staatsflagge (Jahr variabel)."
"Uruguay",Flaggen,"Üruguay – Staatsflagge (Jahr variabel)."
"Usbekistan",Flaggen,"Üsbekistan – Staatsflagge (Jahr variabel)."
"St. Vincent und die Grenadinen",Flaggen,"St. Vincent und die Grenadinen – Staatsflagge (Jahr variabel)."
"Venezuela",Flaggen,"Venezuela – Staatsflagge (Jahr variabel)."
"Britische Jungferninseln",Flaggen,"Britische Jungferninseln – Staatsflagge (Jahr variabel)."
"Amerikanische Jungferninseln",Flaggen,"Ämerikanische Jungferninseln – Staatsflagge (Jahr variabel)."
"Wallis und Futuna",Flaggen,"Wallis und Futuna – Staatsflagge (Jahr variabel)."
"Samoa",Flaggen,"Samoa – Staatsflagge (Jahr variabel)."
"Mayotte",Flaggen,"Mayotte – Staatsflagge (Jahr variabel)."
"Vereinigte Arabische Emirate",Umrisse,"Vereinigte Arabische Emirate – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Afghanistan",Umrisse,"Äfghanistan – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Antigua und Barbuda",Umrisse,"Äntigua und Barbuda – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Anguilla",Umrisse,"Änguilla – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Albanien",Umrisse,"Älbanien – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Armenien",Umrisse,"Ärmenien – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Angola",Umrisse,"Ängola – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Antarktis",Umrisse,"Äntarktis – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Argentinien",Umrisse,"Ärgentinien – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Amerikanisch-Samoa",Umrisse,"Ämerikanisch-Samoa – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Australien",Umrisse,"Äustralien – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Aruba",Umrisse,"Äruba – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Ålandinseln",Umrisse,"Ålandinseln – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Aserbaidschan",Umrisse,"Äserbaidschan – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Bosnien und Herzegowina",Umrisse,"Bosnien und Herzegowina – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Bulgarien",Umrisse,"Bulgarien – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"St. Barthélemy",Umrisse,"St. Barthélemy – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Bermuda",Umrisse,"Bermuda – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Brunei Darussalam",Umrisse,"Brunei Darussalam – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Bolivien",Umrisse,"Bolivien – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Karibische Niederlande",Umrisse,"Karibische Niederlande – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Bhutan",Umrisse,"Bhutan – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Bouvetinsel",Umrisse,"Bouvetinsel – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Botsuana",Umrisse,"Botsuana – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Kokosinseln",Umrisse,"Kokosinseln – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Kongo-Kinshasa",Umrisse,"Kongo-Kinshasa – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Zentralafrikanische Republik",Umrisse,"Zentralafrikanische Republik – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Kongo-Brazzaville",Umrisse,"Kongo-Brazzaville – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Côte d’Ivoire",Umrisse,"Côte d’Ivoire – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Cookinseln",Umrisse,"Cookinseln – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Chile",Umrisse,"Chile – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"China",Umrisse,"China – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Kolumbien",Umrisse,"Kolumbien – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Costa Rica",Umrisse,"Costa Rica – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Cabo Verde",Umrisse,"Cabo Verde – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Curaçao",Umrisse,"Curaçao – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Weihnachtsinsel",Umrisse,"Weihnachtsinsel – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Dänemark",Umrisse,"Dänemark – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Dominikanische Republik",Umrisse,"Dominikanische Republik – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Algerien",Umrisse,"Älgerien – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Ecuador",Umrisse,"Ecuador – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Westsahara",Umrisse,"Westsahara – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Äthiopien",Umrisse,"Äthiopien – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Finnland",Umrisse,"Finnland – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Falklandinseln",Umrisse,"Falklandinseln – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Färöer",Umrisse,"Färöer – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Vereinigtes Königreich",Umrisse,"Vereinigtes Königreich – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Französisch-Guayana",Umrisse,"Französisch-Guayana – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Guernsey",Umrisse,"Guernsey – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Gibraltar",Umrisse,"Gibraltar – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Grönland",Umrisse,"Grönland – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Guadeloupe",Umrisse,"Guadeloupe – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Griechenland",Umrisse,"Griechenland – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Südgeorgien und die Südlichen Sandwichinseln",Umrisse,"Südgeorgien und die Südlichen Sandwichinseln – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Guatemala",Umrisse,"Guatemala – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Guam",Umrisse,"Guam – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Sonderverwaltungsregion Hongkong",Umrisse,"Sonderverwaltungsregion Hongkong – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Heard und McDonaldinseln",Umrisse,"Heard und McDonaldinseln – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Honduras",Umrisse,"Honduras – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Haiti",Umrisse,"Haiti – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Ungarn",Umrisse,"Üngarn – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Isle of Man",Umrisse,"Isle of Man – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Britisches Territorium im Indischen Ozean",Umrisse,"Britisches Territorium im Indischen Ozean – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"St. Kitts und Nevis",Umrisse,"St. Kitts und Nevis – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Kaimaninseln",Umrisse,"Kaimaninseln – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Liechtenstein",Umrisse,"Liechtenstein – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Liberia",Umrisse,"Liberia – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Monaco",Umrisse,"Monaco – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Republik Moldau",Umrisse,"Republik Moldau – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"St. Martin",Umrisse,"St. Martin – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Mongolei",Umrisse,"Mongolei – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Sonderverwaltungsregion Macau",Umrisse,"Sonderverwaltungsregion Macau – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Martinique",Umrisse,"Martinique – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Montserrat",Umrisse,"Montserrat – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Mexiko",Umrisse,"Mexiko – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Neukaledonien",Umrisse,"Neukaledonien – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Norfolkinsel",Umrisse,"Norfolkinsel – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Nicaragua",Umrisse,"Nicaragua – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Niederlande",Umrisse,"Niederlande – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Nauru",Umrisse,"Nauru – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Niue",Umrisse,"Niue – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Oman",Umrisse,"Öman – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Panama",Umrisse,"Panama – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Peru",Umrisse,"Peru – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Französisch-Polynesien",Umrisse,"Französisch-Polynesien – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"St. Pierre und Miquelon",Umrisse,"St. Pierre und Miquelon – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Pitcairninseln",Umrisse,"Pitcairninseln – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Puerto Rico",Umrisse,"Puerto Rico – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Portugal",Umrisse,"Portugal – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Paraguay",Umrisse,"Paraguay – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Réunion",Umrisse,"Réunion – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Rumänien",Umrisse,"Rumänien – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Seychellen",Umrisse,"Seychellen – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Schweden",Umrisse,"Schweden – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"St. Helena",Umrisse,"St. Helena – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Spitzbergen und Jan Mayen",Umrisse,"Spitzbergen und Jan Mayen – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"São Tomé und Príncipe",Umrisse,"São Tomé und Príncipe – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"El Salvador",Umrisse,"El Salvador – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Sint Maarten",Umrisse,"Sint Maarten – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Turks- und Caicosinseln",Umrisse,"Turks- und Caicosinseln – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Französische Süd- und Antarktisgebiete",Umrisse,"Französische Süd- und Antarktisgebiete – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Tokelau",Umrisse,"Tokelau – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Timor-Leste",Umrisse,"Timor-Leste – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Tonga",Umrisse,"Tonga – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Trinidad und Tobago",Umrisse,"Trinidad und Tobago – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Taiwan",Umrisse,"Taiwan – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Ukraine",Umrisse,"Ükraine – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Uganda",Umrisse,"Üganda – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Vereinigte Staaten",Umrisse,"Vereinigte Staaten – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Uruguay",Umrisse,"Üruguay – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Usbekistan",Umrisse,"Üsbekistan – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"St. Vincent und die Grenadinen",Umrisse,"St. Vincent und die Grenadinen – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Venezuela",Umrisse,"Venezuela – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Britische Jungferninseln",Umrisse,"Britische Jungferninseln – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Amerikanische Jungferninseln",Umrisse,"Ämerikanische Jungferninseln – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Wallis und Futuna",Umrisse,"Wallis und Futuna – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Samoa",Umrisse,"Samoa – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."
"Mayotte",Umrisse,"Mayotte – Staatsumriss. Quelle: mapsicon (CC BY 4.0)."