Land / Gebiet,Typ,Gründungsjahr (Def.),Hintergrund / Systemischer Bruch
Vereinigte Arabische Emirate,Umrisse,1971,Gründung der Föderation.
Afghanistan,Umrisse,2021,Machtübernahme der Taliban.
Antigua und Barbuda,Umrisse,1981,Unabhängigkeit vom UK.
Anguilla,Umrisse,1982,Aktuelle Verfassungsordnung.
Albanien,Umrisse,1998,Aktuelle Verfassung.
Armenien,Umrisse,2015,Wechsel zum Parlamentarismus.
Angola,Umrisse,2010,Aktuelle Verfassung.
Antarktis,Umrisse,1961,Antarktis-Vertrag.
Argentinien,Umrisse,1994,Verfassungsreform.
Amerikanisch-Samoa,Umrisse,1967,Verfassung.
Australien,Umrisse,1986,Australia Act.
Aruba,Umrisse,1986,Status Aparte.
Ålandinseln,Umrisse,1993,Neue Autonomie-Akte.
Aserbaidschan,Umrisse,1995,Unabhängigkeitsverfassung.
Bosnien und Herzegowina,Umrisse,1995,Dayton-Abkommen.
Bulgarien,Umrisse,1991,Post-sozialistische Verfassung.
St. Barthélemy,Umrisse,2007,Überseekollektiv.
Bermuda,Umrisse,1968,Verfassungsordnung.
Brunei Darussalam,Umrisse,1984,Unabhängigkeit.
Bolivien,Umrisse,2009,Plurinationaler Staat.
Karibische Niederlande,Umrisse,2010,Integration in NL.
Bhutan,Umrisse,2008,Konstitutionelle Monarchie.
Bouvetinsel,Umrisse,1930,Norwegische Souveränität.
Botsuana,Umrisse,1966,Unabhängigkeit.
Kokosinseln,Umrisse,1984,Integration in Australien.
Kongo-Kinshasa,Umrisse,2006,III. Republik.
Zentralafrikanische Republik,Umrisse,2023,Neue Verfassung.
Kongo-Brazzaville,Umrisse,2015,Neue Verfassung.
Côte d'Ivoire,Umrisse,2016,III. Republik.
Cookinseln,Umrisse,1965,Selbstverwaltung.
Chile,Umrisse,2005,Verfassungsreform.
China,Umrisse,1982,Aktuelle Verfassung.
Kolumbien,Umrisse,1991,Moderne Verfassung.
Costa Rica,Umrisse,1949,Post-Bürgerkriegsverfassung.
Cabo Verde,Umrisse,1992,Demokratisierung.
Curaçao,Umrisse,2010,Eigenständiges Land.
Weihnachtsinsel,Umrisse,1958,Australische Verwaltung.
Dänemark,Umrisse,1953,Verfassungsänderung.
Dominikanische Republik,Umrisse,2015,Verfassungsreform.
Algerien,Umrisse,2020,Post-Hirak-Verfassung.
Ecuador,Umrisse,2008,Aktuelle Verfassung.
Westsahara,Umrisse,1976,Proklamation der D.A.R.S..
Äthiopien,Umrisse,1995,Föderale Verfassung.
Finnland,Umrisse,2000,Neue Verfassung.
Falklandinseln,Umrisse,2009,Verfassungsordnung.
Färöer,Umrisse,1948,Autonomiegesetz.
Vereinigtes Königreich,Umrisse,1922,Heutiger Staatsrahmen.
Französisch-Guayana,Umrisse,1946,Überseedépartement.
Guernsey,Umrisse,2005,Regierungsreform.
Gibraltar,Umrisse,2006,Verfassungsordnung.
Grönland,Umrisse,2009,Self-Government.
Guadeloupe,Umrisse,1946,Überseedépartement.
Griechenland,Umrisse,1975,Post-Diktatur-Verfassung.
Südgeorgien...,Umrisse,1985,Eigenständiges Territorium.
Guatemala,Umrisse,1985,Demokratische Verfassung.
Guam,Umrisse,1950,Organic Act.
SVR Hongkong,Umrisse,1997,Übergabe an China.
Heard/McDonaldins.,Umrisse,1947,Australische Verwaltung.
Honduras,Umrisse,1982,Demokratisierung.
Haiti,Umrisse,1987,Post-Duvalier-Verfassung.
Ungarn,Umrisse,2012,Neues Grundgesetz.
Isle of Man,Umrisse,1979,Tynwald-Jubiläum.
Britisches Terr. Ind. Oz.,Umrisse,1965,Eigenes Territorium.
St. Kitts und Nevis,Umrisse,1983,Unabhängigkeit.
Kaimaninseln,Umrisse,2009,Verfassungsordnung.
Liechtenstein,Umrisse,2003,Verfassungsreform.
Liberia,Umrisse,1986,Post-Bürgerkrieg-Verfassung.
Monaco,Umrisse,1962,Verfassungsreform.
Republik Moldau,Umrisse,1994,Verfassung.
St. Martin,Umrisse,2007,Überseekollektiv.
Mongolei,Umrisse,1992,Post-Einparteiensystem.
SVR Macau,Umrisse,1999,Übergabe an China.
Martinique,Umrisse,1946,Überseedépartement.
Montserrat,Umrisse,2010,Verfassungsordnung.
Mexiko,Umrisse,1917,Post-Revolution-Verfassung.
Neukaledonien,Umrisse,1998,Nouméa-Abkommen.
Norfolkinsel,Umrisse,2016,Ende der Selbstverwaltung.
Nicaragua,Umrisse,1987,Verfassung.
Niederlande,Umrisse,1983,Totalrevision.
Nauru,Umrisse,1968,Unabhängigkeit.
Niue,Umrisse,1974,Selbstverwaltung.
Oman,Umrisse,2021,Neues Grundgesetz.
Panama,Umrisse,1972,Verfassung.
Peru,Umrisse,1993,Verfassung.
Französisch-Polynesien,Umrisse,2004,Status Überseeland.
St. Pierre/Miquelon,Umrisse,2003,Überseekollektiv.
Pitcairninseln,Umrisse,2010,Verfassungsordnung.
Puerto Rico,Umrisse,1952,Verfassung.
Portugal,Umrisse,1976,Post-Nelkenrevolution.
Paraguay,Umrisse,1992,Post-Diktatur-Verfassung.
Réunion,Umrisse,1946,Überseedépartement.
Rumänien,Umrisse,1991,Post-Kommunismus.
Seychellen,Umrisse,1993,Mehrparteiendemokratie.
Schweden,Umrisse,1974,Regierungsform.
St. Helena,Umrisse,2009,Verfassungsordnung.
Spitzbergen/Jan Mayen,Umrisse,1925,Spitzbergen-Vertrag.
São Tomé und Príncipe,Umrisse,1990,Systemwechsel.
El Salvador,Umrisse,1983,Verfassung.
Sint Maarten,Umrisse,2010,Eigenständigkeit.
Turks/Caicosinseln,Umrisse,2011,Post-Krisen-Verfassung.
Frz. Süd-/Antarktisgeb.,Umrisse,1955,Territorium-Gesetz.
Tokelau,Umrisse,2006,Constitution Act.
Timor-Leste,Umrisse,2002,Unabhängigkeit.
Tonga,Umrisse,2010,Demokratisierung.
Trinidad und Tobago,Umrisse,1976,Republikgründung.
Taiwan,Umrisse,1991,Demokratisierung.
Ukraine,Umrisse,1996,Verfassung.
Uganda,Umrisse,1995,Verfassung.
Vereinigte Staaten,Umrisse,1789,Verfassungsinkrafttreten.
Uruguay,Umrisse,1985,Wiederherstellung Demokratie.
Usbekistan,Umrisse,2023,Verfassungsreform.
St. Vincent...,Umrisse,1985,Systembruch.
Venezuela,Umrisse,1999,Bolivarische Verfassung.
Brit. Jungferninseln,Umrisse,2007,Verfassungsordnung.
Amerik. Jungferninseln,Umrisse,1954,Organic Act.
Wallis und Futuna,Umrisse,1961,Überseegebiet-Status.
Samoa,Umrisse,1962,Unabhängigkeit.
Mayotte,Umrisse,2011,Departement-Status.
